entity,entity_type,metric,value,period,source
BOB,standalone,Net Loans and Advances,85.8,2018-Q1,rbnz-dashboard
BOB,standalone,Deposits,68.1,2018-Q1,rbnz-dashboard
BOB,standalone,Equity,47.2,2018-Q1,rbnz-dashboard
BOB,standalone,Core Funding Ratio (CFR),132,2018-Q1,rbnz-dashboard
BOB,standalone,1-Month Mismatch Ratio,20.7,2018-Q1,rbnz-dashboard
BOB,standalone,1-Week Mismatch Ratio,18.2,2018-Q1,rbnz-dashboard
BOB,standalone,Top 5 Non-Bank Credit Exposures,55.6,2018-Q1,rbnz-dashboard
BOB,standalone,Top 5 Bank Credit Exposures,51.7,2018-Q1,rbnz-dashboard
BOB,standalone,Bank Exposures ≥10% of CET1,2,2018-Q1,rbnz-dashboard
BOC,standalone,Total Capital Ratio,12.9,2018-Q1,rbnz-dashboard
BOC,standalone,CET1 Ratio,12.9,2018-Q1,rbnz-dashboard
BOC,standalone,Tier 1 Capital Ratio,12.9,2018-Q1,rbnz-dashboard
BOC,standalone,Total Risk-Weighted Assets,1643.3,2018-Q1,rbnz-dashboard
BOC,standalone,Total Non-Performing Loans,33.3,2018-Q1,rbnz-dashboard
BOC,standalone,NPL Ratio,2,2018-Q1,rbnz-dashboard
BOC,standalone,Individual Provisions,9.8,2018-Q1,rbnz-dashboard
BOC,standalone,Collective Provisions,6.2,2018-Q1,rbnz-dashboard
BOC,standalone,Return on Assets,0.9,2018-Q1,rbnz-dashboard
BOC,standalone,Return on Equity,8.1,2018-Q1,rbnz-dashboard
BOC,standalone,NIM,1.4,2018-Q1,rbnz-dashboard
BOC,standalone,Net Interest Income,6.4,2018-Q1,rbnz-dashboard
BOC,standalone,Trading and Hedging Gains,0.1,2018-Q1,rbnz-dashboard
BOC,standalone,Fees and Commission Income,1.4,2018-Q1,rbnz-dashboard
BOC,standalone,Other Income,0,2018-Q1,rbnz-dashboard
BOC,standalone,Operating Expenses,2.5,2018-Q1,rbnz-dashboard
BOC,standalone,Profit After Tax,4.3,2018-Q1,rbnz-dashboard
BOC,standalone,Total Assets,2013.7,2018-Q1,rbnz-dashboard
BOC,standalone,Cash Position,242.6,2018-Q1,rbnz-dashboard
BOC,standalone,Net Loans and Advances,1684.2,2018-Q1,rbnz-dashboard
BOC,standalone,Deposits,448.8,2018-Q1,rbnz-dashboard
BOC,standalone,Equity,216.5,2018-Q1,rbnz-dashboard
BOC,standalone,Core Funding Ratio (CFR),90.7,2018-Q1,rbnz-dashboard
BOC,standalone,1-Month Mismatch Ratio,6,2018-Q1,rbnz-dashboard
BOC,standalone,1-Week Mismatch Ratio,9.3,2018-Q1,rbnz-dashboard
BOC,standalone,Top 5 Non-Bank Credit Exposures,229.5,2018-Q1,rbnz-dashboard
BOC,standalone,Top 5 Bank Credit Exposures,16.4,2018-Q1,rbnz-dashboard
BOC,standalone,Bank Exposures ≥10% of CET1,1,2018-Q1,rbnz-dashboard
BOC Group,group,Total Capital Ratio,,2018-Q1,rbnz-dashboard
BOC Group,group,CET1 Ratio,,2018-Q1,rbnz-dashboard
BOC Group,group,Tier 1 Capital Ratio,,2018-Q1,rbnz-dashboard
BOC Group,group,Total Risk-Weighted Assets,,2018-Q1,rbnz-dashboard
BOC Group,group,Total Non-Performing Loans,33.3,2018-Q1,rbnz-dashboard
BOC Group,group,NPL Ratio,2,2018-Q1,rbnz-dashboard
BOC Group,group,Individual Provisions,9.8,2018-Q1,rbnz-dashboard
BOC Group,group,Collective Provisions,6.2,2018-Q1,rbnz-dashboard
BOC Group,group,Return on Assets,,2018-Q1,rbnz-dashboard
BOC Group,group,Return on Equity,,2018-Q1,rbnz-dashboard
BOC Group,group,NIM,,2018-Q1,rbnz-dashboard
BOC Group,group,Net Interest Income,,2018-Q1,rbnz-dashboard
