entity,metric,value,period,source
Kiwibank,Net Interest Income,386.0,2022-Q4,disclosure-kiwibank
Kiwibank,Total Operating Income,415.0,2022-Q4,disclosure-kiwibank
Kiwibank,Operating Expenses,-263.0,2022-Q4,disclosure-kiwibank
Kiwibank,Profit After Tax,131.0,2022-Q4,disclosure-kiwibank
Kiwibank,Total Assets,33368.0,2022-Q4,disclosure-kiwibank
Kiwibank,Net Loans and Advances,28898.0,2022-Q4,disclosure-kiwibank
Kiwibank,Deposits,25262.0,2022-Q4,disclosure-kiwibank
Kiwibank,Equity,2299.0,2022-Q4,disclosure-kiwibank
Kiwibank,CET1 Ratio,4.5,2022-Q4,disclosure-kiwibank
Kiwibank,Total Capital Ratio,8.0,2022-Q4,disclosure-kiwibank
Kiwibank,Net Interest Income,794.0,2023-Q2,disclosure-kiwibank
Kiwibank,Total Operating Income,816.0,2023-Q2,disclosure-kiwibank
Kiwibank,Operating Expenses,-534.0,2023-Q2,disclosure-kiwibank
Kiwibank,Profit After Tax,131.0,2023-Q2,disclosure-kiwibank
Kiwibank,Total Assets,33838.0,2023-Q2,disclosure-kiwibank
Kiwibank,Net Loans and Advances,102.0,2023-Q2,disclosure-kiwibank
Kiwibank,Deposits,25756.0,2023-Q2,disclosure-kiwibank
Kiwibank,Equity,2311.0,2023-Q2,disclosure-kiwibank
Kiwibank,CET1 Ratio,11.5,2023-Q2,disclosure-kiwibank
Kiwibank,Total Capital Ratio,16.0,2023-Q2,disclosure-kiwibank
Kiwibank,Net Interest Income,431.0,2023-Q4,disclosure-kiwibank
Kiwibank,Total Operating Income,448.0,2023-Q4,disclosure-kiwibank
Kiwibank,Operating Expenses,-286.0,2023-Q4,disclosure-kiwibank
Kiwibank,Profit After Tax,105.0,2023-Q4,disclosure-kiwibank
Kiwibank,Total Assets,35394.0,2023-Q4,disclosure-kiwibank
Kiwibank,Net Loans and Advances,30988.0,2023-Q4,disclosure-kiwibank
Kiwibank,Deposits,26835.0,2023-Q4,disclosure-kiwibank
Kiwibank,Equity,2538.0,2023-Q4,disclosure-kiwibank
Kiwibank,CET1 Ratio,4.5,2023-Q4,disclosure-kiwibank
Kiwibank,Total Capital Ratio,8.0,2023-Q4,disclosure-kiwibank
Kiwibank,Net Interest Income,824.0,2024-Q2,disclosure-kiwibank
Kiwibank,Total Operating Income,880.0,2024-Q2,disclosure-kiwibank
Kiwibank,Operating Expenses,-582.0,2024-Q2,disclosure-kiwibank
Kiwibank,Profit After Tax,202.0,2024-Q2,disclosure-kiwibank
Kiwibank,Total Assets,36650.0,2024-Q2,disclosure-kiwibank
Kiwibank,Net Loans and Advances,32445.0,2024-Q2,disclosure-kiwibank
Kiwibank,Deposits,28176.0,2024-Q2,disclosure-kiwibank
Kiwibank,Equity,2621.0,2024-Q2,disclosure-kiwibank
Kiwibank,CET1 Ratio,11.5,2024-Q2,disclosure-kiwibank
Kiwibank,Total Capital Ratio,16.0,2024-Q2,disclosure-kiwibank
Kiwibank,Net Interest Income,430.0,2024-Q4,disclosure-kiwibank
Kiwibank,Total Operating Income,461.0,2024-Q4,disclosure-kiwibank
Kiwibank,Operating Expenses,-311.0,2024-Q4,disclosure-kiwibank
Kiwibank,Profit After Tax,105.0,2024-Q4,disclosure-kiwibank
Kiwibank,Total Assets,39502.0,2024-Q4,disclosure-kiwibank
Kiwibank,Net Loans and Advances,34416.0,2024-Q4,disclosure-kiwibank
Kiwibank,Deposits,29961.0,2024-Q4,disclosure-kiwibank
Kiwibank,Equity,2967.0,2024-Q4,disclosure-kiwibank
Kiwibank,CET1 Ratio,11.5,2024-Q4,disclosure-kiwibank
Kiwibank,Total Capital Ratio,9.0,2024-Q4,disclosure-kiwibank
Kiwibank,Net Interest Income,858.0,2025-Q2,disclosure-kiwibank
Kiwibank,Total Operating Income,912.0,2025-Q2,disclosure-kiwibank
Kiwibank,Operating Expenses,-619.0,2025-Q2,disclosure-kiwibank
Kiwibank,Profit After Tax,191.0,2025-Q2,disclosure-kiwibank
Kiwibank,Total Assets,40660.0,2025-Q2,disclosure-kiwibank
Kiwibank,Net Loans and Advances,35840.0,2025-Q2,disclosure-kiwibank
Kiwibank,Deposits,30337.0,2025-Q2,disclosure-kiwibank
Kiwibank,Equity,3079.0,2025-Q2,disclosure-kiwibank
Kiwibank,CET1 Ratio,11.5,2025-Q2,disclosure-kiwibank
Kiwibank,Total Capital Ratio,16.0,2025-Q2,disclosure-kiwibank
Kiwibank,Net Interest Income,446.0,2025-Q4,disclosure-kiwibank
Kiwibank,Total Operating Income,478.0,2025-Q4,disclosure-kiwibank
Kiwibank,Operating Expenses,-329.0,2025-Q4,disclosure-kiwibank
Kiwibank,Profit After Tax,103.0,2025-Q4,disclosure-kiwibank
Kiwibank,Total Assets,43074.0,2025-Q4,disclosure-kiwibank
Kiwibank,Net Loans and Advances,37620.0,2025-Q4,disclosure-kiwibank
Kiwibank,Deposits,31780.0,2025-Q4,disclosure-kiwibank
Kiwibank,Equity,3186.0,2025-Q4,disclosure-kiwibank
Kiwibank,CET1 Ratio,11.5,2025-Q4,disclosure-kiwibank
Kiwibank,Total Capital Ratio,16.5,2025-Q4,disclosure-kiwibank
Rabobank,Net Interest Income,54.19,2018-Q4,disclosure-rabobank
Rabobank,Total Operating Income,55.71,2018-Q4,disclosure-rabobank
Rabobank,Operating Expenses,111.64,2018-Q4,disclosure-rabobank
Rabobank,Profit After Tax,3.1,2018-Q4,disclosure-rabobank
Rabobank,Total Assets,1977.36,2018-Q4,disclosure-rabobank
Rabobank,Net Loans and Advances,612948.0,2018-Q4,disclosure-rabobank
Rabobank,Deposits,46980.0,2018-Q4,disclosure-rabobank
Rabobank,Equity,1475617.0,2018-Q4,disclosure-rabobank
Rabobank,CET1 Ratio,4.5,2018-Q4,disclosure-rabobank
Rabobank,Total Capital Ratio,8.0,2018-Q4,disclosure-rabobank
Rabobank,Net Interest Income,62.12,2019-Q4,disclosure-rabobank
Rabobank,Total Operating Income,63.3,2019-Q4,disclosure-rabobank
Rabobank,Operating Expenses,126.43,2019-Q4,disclosure-rabobank
Rabobank,Profit After Tax,9.34,2019-Q4,disclosure-rabobank
Rabobank,Total Assets,2543.53,2019-Q4,disclosure-rabobank
Rabobank,Net Loans and Advances,-583589.0,2019-Q4,disclosure-rabobank
Rabobank,Deposits,672620.0,2019-Q4,disclosure-rabobank
Rabobank,Equity,668.41,2019-Q4,disclosure-rabobank
Rabobank,CET1 Ratio,4.5,2019-Q4,disclosure-rabobank
Rabobank,Total Capital Ratio,8.0,2019-Q4,disclosure-rabobank
Rabobank,Net Loans and Advances,1.0,2022-Q4,disclosure-rabobank
Rabobank,Deposits,466617.0,2022-Q4,disclosure-rabobank
